FID,Key,SiteCode,Site,SiteLat,SiteLong,Country,Ecoregion,Realm,SurveyID,Depth,SurveyDate,Category,CategoryDescription,MajorCategory,NumPoints,TotalPoints,PercentCover,geom
M3_DATA.20174,20174,ETP66,Secas O,7.98,-82.02,Panama,Nicoya,Tropical Eastern Pacific,507003550,12,2007-03-21T13:00:00Z,Bra,Other branching/erect corals (Live),Coral,,,0.3704,POINT (-82.02 7.98)
M3_DATA.20176,20176,ETP66,Secas O,7.98,-82.02,Panama,Nicoya,Tropical Eastern Pacific,507003550,12,2007-03-21T13:00:00Z,Soft,Soft corals and gorgonians,Coral,,,0.1235,POINT (-82.02 7.98)
M3_DATA.20177,20177,ETP66,Secas O,7.98,-82.02,Panama,Nicoya,Tropical Eastern Pacific,507003550,12,2007-03-21T13:00:00Z,Ecr,Encrusting corals,Coral,,,3.0864,POINT (-82.02 7.98)
M3_DATA.20184,20184,ETP74,Sin Nombre NE,7.84,-81.75,Panama,Nicoya,Tropical Eastern Pacific,507003551,12,2007-03-21T13:00:00Z,Pocil,Pocillopora,Coral,,,6.5432,POINT (-81.75 7.84)
M3_DATA.20185,20185,ETP74,Sin Nombre NE,7.84,-81.75,Panama,Nicoya,Tropical Eastern Pacific,507003551,12,2007-03-21T13:00:00Z,Ecr,Encrusting corals,Coral,,,1.1111,POINT (-81.75 7.84)
M3_DATA.20187,20187,ETP74,Sin Nombre NE,7.84,-81.75,Panama,Nicoya,Tropical Eastern Pacific,507003551,12,2007-03-21T13:00:00Z,Bra,Other branching/erect corals (Live),Coral,,,0.7407,POINT (-81.75 7.84)
M3_DATA.20191,20191,LHI1,North Bommie,-31.52,159.04,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,2001595,14,2010-02-12T13:00:00Z,Ecr,Encrusting corals,Coral,,,5.6,POINT (159.04 -31.52)
M3_DATA.20197,20197,LHI1,North Bommie,-31.52,159.04,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,2001595,14,2010-02-12T13:00:00Z,Mas,Massive corals (Live),Coral,,,1.2,POINT (159.04 -31.52)
M3_DATA.20198,20198,LHI1,North Bommie,-31.52,159.04,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,2001595,14,2010-02-12T13:00:00Z,Soft,Soft corals and gorgonians,Coral,,,1.6,POINT (159.04 -31.52)
M3_DATA.20209,20209,LHI13,Little Island,-31.57,159.07,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,2001611,9.5,2009-02-03T13:00:00Z,Bra,Other branching/erect corals (Live),Coral,1,100,1,POINT (159.07 -31.57)
M3_DATA.20210,20210,LHI13,Little Island,-31.57,159.07,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,2001611,9.5,2009-02-03T13:00:00Z,Ecr,Encrusting corals,Coral,7,100,7,POINT (159.07 -31.57)
M3_DATA.20224,20224,UK2,Big Green Carr,55.9,-2.13,United Kingdom,North Sea,Temperate Northern Atlantic,44003077,10,2011-09-22T14:00:00Z,Soft,Soft corals and gorgonians,Coral,5,105,4.7619,POINT (-2.13 55.9)
M3_DATA.20234,20234,ETP242,Uvita Abajo,7.8,-81.75,Panama,Nicoya,Tropical Eastern Pacific,507003574,8,2007-03-23T13:00:00Z,Aherm,Ahermatypic corals,Coral,,,0.2469,POINT (-81.75 7.8)
M3_DATA.20238,20238,ETP22,Punta Gissler,5.54,-87.07,Costa Rica,Cocos Islands,Tropical Eastern Pacific,506002970,14,2011-04-25T14:00:00Z,Mas,Massive corals (Live),Coral,,,16,POINT (-87.07 5.54)
M3_DATA.20244,20244,ETP22,Punta Gissler,5.54,-87.07,Costa Rica,Cocos Islands,Tropical Eastern Pacific,506002970,14,2011-04-25T14:00:00Z,Aherm,Ahermatypic corals,Coral,,,2,POINT (-87.07 5.54)
M3_DATA.20249,20249,ETP30,Bahía Carrillo 1,9.86,-85.49,Costa Rica,Nicoya,Tropical Eastern Pacific,506002979,8.5,2011-05-04T14:00:00Z,Soft,Soft corals and gorgonians,Coral,,,2.6,POINT (-85.49 9.86)
M3_DATA.20260,20260,ETP37,Bahía Islita,9.85,-85.4,Costa Rica,Nicoya,Tropical Eastern Pacific,506002986,4,2011-05-06T14:00:00Z,Soft,Soft corals and gorgonians,Coral,,,1,POINT (-85.4 9.85)
M3_DATA.20266,20266,ETP91,Jicarita E,7.21,-81.8,Panama,Nicoya,Tropical Eastern Pacific,507003584,5,2007-03-24T13:00:00Z,Mas,Massive corals (Live),Coral,,,2.0988,POINT (-81.8 7.21)
M3_DATA.20267,20267,ETP91,Jicarita E,7.21,-81.8,Panama,Nicoya,Tropical Eastern Pacific,507003584,5,2007-03-24T13:00:00Z,Pocil,Pocillopora,Coral,,,1.8519,POINT (-81.8 7.21)
M3_DATA.20268,20268,ETP187,Montuosa Norte,7.48,-82.24,Panama,Nicoya,Tropical Eastern Pacific,507003598,8,2007-03-25T14:00:00Z,Mas,Massive corals (Live),Coral,,,8.0247,POINT (-82.24 7.48)
M3_DATA.20273,20273,ETP187,Montuosa Norte,7.48,-82.24,Panama,Nicoya,Tropical Eastern Pacific,507003598,8,2007-03-25T14:00:00Z,Ecr,Encrusting corals,Coral,,,2.8395,POINT (-82.24 7.48)
M3_DATA.20275,20275,ETP187,Montuosa Norte,7.48,-82.24,Panama,Nicoya,Tropical Eastern Pacific,507003598,8,2007-03-25T14:00:00Z,Bra,Other branching/erect corals (Live),Coral,,,1.1111,POINT (-82.24 7.48)
M3_DATA.20280,20280,ETP188,Montuosa Sureste,7.46,-82.23,Panama,Nicoya,Tropical Eastern Pacific,507003599,8,2007-03-25T14:00:00Z,Aherm,Ahermatypic corals,Coral,,,2.963,POINT (-82.23 7.46)
M3_DATA.20283,20283,ETP188,Montuosa Sureste,7.46,-82.23,Panama,Nicoya,Tropical Eastern Pacific,507003599,8,2007-03-25T14:00:00Z,Bra,Other branching/erect corals (Live),Coral,,,1.9753,POINT (-82.23 7.46)
M3_DATA.20284,20284,ETP188,Montuosa Sureste,7.46,-82.23,Panama,Nicoya,Tropical Eastern Pacific,507003599,8,2007-03-25T14:00:00Z,Soft,Soft corals and gorgonians,Coral,,,2.716,POINT (-82.23 7.46)
